phrase_key,category,canonical_ko,phrase_type
TERM_001,WORK_TERM,물,TERM
TERM_002,WORK_TERM,땅,TERM
TERM_003,WORK_TERM,잡초뽑기,TERM
TERM_004,WORK_TERM,열매,TERM
TERM_005,WORK_TERM,나뭇가지,TERM
TERM_006,WORK_TERM,제초제,TERM
TERM_007,WORK_TERM,농약,TERM
TERM_008,WORK_TERM,비료,TERM
TERM_009,WORK_TERM,잎,TERM
TERM_010,WORK_TERM,씨앗,TERM
TERM_011,WORK_TERM,씨앗뿌리기,TERM
TERM_012,WORK_TERM,파종,TERM
TERM_013,WORK_TERM,화분,TERM
TERM_014,WORK_TERM,작업복,TERM
TERM_015,WORK_TERM,호미,TERM
TERM_016,WORK_TERM,낫,TERM
TERM_017,WORK_TERM,삽,TERM
TERM_018,WORK_TERM,장갑,TERM
TERM_019,WORK_TERM,장화,TERM
TERM_020,WORK_TERM,사다리,TERM
TERM_021,WORK_TERM,수레,TERM
TERM_022,WORK_TERM,경운기,TERM
TERM_023,WORK_TERM,호스,TERM
TERM_024,WORK_TERM,트렉터,TERM
TERM_025,WORK_TERM,비닐하우스,TERM
INSTR_001,WORK_INSTRUCTION,파세요,INSTRUCTION
INSTR_002,WORK_INSTRUCTION,심으세요,INSTRUCTION
INSTR_003,WORK_INSTRUCTION,뿌리세요,INSTRUCTION
INSTR_004,WORK_INSTRUCTION,덮으세요,INSTRUCTION
INSTR_005,WORK_INSTRUCTION,뽑으세요,INSTRUCTION
INSTR_006,WORK_INSTRUCTION,따세요,INSTRUCTION
INSTR_007,WORK_INSTRUCTION,자르세요,INSTRUCTION
INSTR_008,WORK_INSTRUCTION,하지마세요,INSTRUCTION
INSTR_009,WORK_INSTRUCTION,필요해요,INSTRUCTION
INSTR_010,WORK_INSTRUCTION,확인하세요,INSTRUCTION
INSTR_011,WORK_INSTRUCTION,따라하세요,INSTRUCTION
INSTR_012,WORK_INSTRUCTION,그만하세요,INSTRUCTION
INSTR_013,WORK_INSTRUCTION,있어요,INSTRUCTION
INSTR_014,WORK_INSTRUCTION,없어요,INSTRUCTION
INSTR_015,WORK_INSTRUCTION,주세요,INSTRUCTION
INSTR_016,WORK_INSTRUCTION,받아요,INSTRUCTION
SAFE_001,SAFETY,작업 전 스트레칭을 하세요,INSTRUCTION
SAFE_002,SAFETY,농약 살포 작업 후에는 몸을 깨끗이 샤워하세요,INSTRUCTION
SAFE_003,SAFETY,농작업 시에는 슬리퍼 대신 운동화나 장화 등 미끄러지지 않는 신발을 신으세요,INSTRUCTION
SAFE_004,SAFETY,무거운 물건은 한번에 들지 말고 나누어 옮기세요,INSTRUCTION
SAFE_005,SAFETY,일할 때 자주 물을 마시세요,INSTRUCTION
SAFE_006,SAFETY,폭염 시 휴식할 때는 햇빛을 피해서 그늘에서 쉬세요,INSTRUCTION
SAFE_007,SAFETY,작업 시에는 혼자 하지 말고 두 사람이 함께 일하세요,INSTRUCTION
SAFE_008,SAFETY,햇빛이 강할 때는 긴 옷을 입으세요,INSTRUCTION
SAFE_009,SAFETY,사다리를 오를 때는 두 손으로 꼭 잡고 올라가세요,INSTRUCTION
SAFE_010,SAFETY,사다리는 평평한 곳에서 사용하세요,INSTRUCTION
